settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
13009930262						Order	205-1852001-1665929	205-1852001-1665929		Mf3xlH7fw	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.02	AFN	02.03.2020	02.03.2020 00:20:12 UTC	65563379595979			mb015-a1932-coeudc1	1	
13009930262						Order	205-1852001-1665929	205-1852001-1665929		Mf3xlH7fw	Amazon.co.uk	ItemFees	Commission	-2.16	AFN	02.03.2020	02.03.2020 00:20:12 UTC	65563379595979			mb015-a1932-coeudc1	1	
13009930262						Order	203-7858136-8861139	203-7858136-8861139		DcXXxH3ls	Amazon.co.uk	ItemPrice	Principal	23.32	AFN	03.03.2020	03.03.2020 04:18:02 UTC	05506085232731			JV-PP7X-WR6T	1	
13009930262						Order	203-7858136-8861139	203-7858136-8861139		DcXXxH3ls	Amazon.co.uk	ItemPrice	Tax	4.67	AFN	03.03.2020	03.03.2020 04:18:02 UTC	05506085232731			JV-PP7X-WR6T	1	
13009930262						Order	203-7858136-8861139	203-7858136-8861139		DcXXxH3ls	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.45	AFN	03.03.2020	03.03.2020 04:18:02 UTC	05506085232731			JV-PP7X-WR6T	1	
13009930262						Order	203-7858136-8861139	203-7858136-8861139		DcXXxH3ls	Amazon.co.uk	ItemFees	Commission	-3.36	AFN	03.03.2020	03.03.2020 04:18:02 UTC	05506085232731			JV-PP7X-WR6T	1	
13009930262						Order	202-2027091-7666759	202-2027091-7666759		D1bVh5F4c	Amazon.co.uk	ItemPrice	Principal	41.66	AFN	08.03.2020	08.03.2020 15:00:52 UTC	35784211882939			Rofee Kitchen	1	
13009930262						Order	202-2027091-7666759	202-2027091-7666759		D1bVh5F4c	Amazon.co.uk	ItemPrice	Tax	8.33	AFN	08.03.2020	08.03.2020 15:00:52 UTC	35784211882939			Rofee Kitchen	1	
13009930262						Order	202-2027091-7666759	202-2027091-7666759		D1bVh5F4c	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-5.05	AFN	08.03.2020	08.03.2020 15:00:52 UTC	35784211882939			Rofee Kitchen	1	
13009930262						Order	202-2027091-7666759	202-2027091-7666759		D1bVh5F4c	Amazon.co.uk	ItemFees	Commission	-6.00	AFN	08.03.2020	08.03.2020 15:00:52 UTC	35784211882939			Rofee Kitchen	1	
13009930262						Order	204-7948216-8951534	204-7948216-8951534		D1K5mb3Ns	Amazon.co.uk	ItemPrice	Principal	29.99	AFN	05.03.2020	05.03.2020 17:13:53 UTC	48897412452075			SW-HH8M-K23D	1	
13009930262						Order	204-7948216-8951534	204-7948216-8951534		D1K5mb3Ns	Amazon.co.uk	ItemPrice	Tax	6.00	AFN	05.03.2020	05.03.2020 17:13:53 UTC	48897412452075			SW-HH8M-K23D	1	
13009930262						Order	204-7948216-8951534	204-7948216-8951534		D1K5mb3Ns	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.45	AFN	05.03.2020	05.03.2020 17:13:53 UTC	48897412452075			SW-HH8M-K23D	1	
